_id,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category
146,Chipotle Mexican Grill #2655,Chipotle Mexican Grill Inc,5/5/2016,1027,Freeport Rd,15238,40.4880700,-79.8855680,NO Dollar Menu
147,Coffee Tree Roasters @ Duquesne Univ. Law,Parkhurst Dining,8/26/2015,900,Locust St,15282,40.4366130,-79.9919480,"Breakfast, Drink, Other"
148,Cold Stone Creamery,TKEJ LLC,2/18/2004,6509,Robinson Center Dr,15205,40.4552230,-80.1620750,"Breakfast, Drink, Other"
149,Cold Stone Creamery #21109,Shah Ventures Inc,9/9/2013,5800,Forbes Ave,15217,40.4378600,-79.9227960,"Breakfast, Drink, Other"
150,Commonplace Coffee,Commonplace Coffee Inc,12/1/2015,1501,Buena Vista Rd,15212,40.4570340,-80.0148190,"Breakfast, Drink, Other"
151,Cool Beans Coffee Co,Coffee A La Cart,1/25/1995,1,Allegheny Center Mall,15212,40.4533160,-80.0043470,"Breakfast, Drink, Other"
152,Crazy Mocha,Specialty Mocha LLC,6/2/2006,531,Beaver St,15143,40.5396630,-80.1789620,"Breakfast, Drink, Other"
153,Crazy Mocha,Crazy Mocha Coffee LLC,12/11/2009,2,North Ave,15212,40.4556170,-80.0068680,"Breakfast, Drink, Other"
154,Crazy Mocha,Crazy Mocha Coffee Company LLC,11/15/2010,4,Gateway Center,15222,40.4405370,-80.0054550,"Breakfast, Drink, Other"
155,Crazy Mocha,Murman & O'Hara LLC,3/24/2008,801,Liberty Ave,15222,40.4429490,-79.9989180,"Breakfast, Drink, Other"
156,Crazy Mocha,Murman C Ohara LLC,1/18/2007,420,Ft Duquesne Blvd,15222,40.4475260,-79.9933980,"Breakfast, Drink, Other"
157,Crazy Mocha,Murman & O'Hara LLC,7/20/2009,2100,Murray Ave,15217,40.4335230,-79.9232690,"Breakfast, Drink, Other"
158,Crazy Mocha - Liberty Center,Crazy Mocha Coffee Co,11/19/2008,1001,Liberty Ave,15222,40.4442090,-79.9946690,"Breakfast, Drink, Other"
159,Crazy Mocha (Grant St T Station),Murman & Ohara Crazy Mocha LLC,5/8/2007,500,Grant St,15219,40.4396780,-79.9959320,"Breakfast, Drink, Other"
160,Crazy Mocha / One Mellon Center,Murman & O'Hara LLC,7/10/2008,500,Grant St,15219,40.4396780,-79.9959320,"Breakfast, Drink, Other"
161,Crazy Mocha #29,Murman & O'Hara Inc,5/29/2012,2775,Mosside Blvd,15146,40.4364640,-79.7598860,"Breakfast, Drink, Other"
162,Crazy Mocha #30,Murman & O'Hara Inc,8/16/2012,5,Station Sq Dr,15219,40.4309990,-80.0016200,"Breakfast, Drink, Other"
163,Crazy Mocha #38,Crazy Mocha,8/10/2015,309,Smithfield St,15222,40.4385080,-79.9999560,"Breakfast, Drink, Other"
164,Crazy Mocha Coffee,Specialty Mocha LLC,11/28/2006,429,Forbes Ave,15219,40.4391520,-79.9978540,"Breakfast, Drink, Other"
165,Crazy Mocha Coffee #39,Murman & Ohara Co,11/23/2015,2729,Carson St,15203,40.4267980,-79.9665100,"Breakfast, Drink, Other"
166,Crazy Mocha Coffee Co,Specialty Mocha LLC,11/16/2007,1,PPG Place,15222,40.4399980,-80.0037950,"Breakfast, Drink, Other"
167,Crazy Mocha Coffee Co,Murmar & O'Hara LLC,10/27/2009,225,Ross St,15219,40.4370000,-79.9970910,"Breakfast, Drink, Other"
168,Crazy Mocha Coffee Co,Murman & Ohara LLC,3/4/2005,207,Oakland Ave,15213,40.4413620,-79.9566960,"Breakfast, Drink, Other"
169,Crazy Mocha Coffee Co,Murman & O'Hara Enterprises,1/22/2002,4525,Liberty Ave,15224,40.4629250,-79.9508170,"Breakfast, Drink, Other"
170,Crazy Mocha Coffee Co,Murman & O'Hara Enterprises LLC,9/22/2004,4400,Forbes Ave,15213,40.4426450,-79.950559,"Breakfast, Drink, Other"
171,Crazy Mocha Coffee Co,Murman & O'Hara Ent,3/1/2000,5830,Ellsworth Ave,15232,40.4562940,-79.9301690,"Breakfast, Drink, Other"
172,Crazy Mocha Coffee Co #31,Murman & O'Hara LLC,7/8/2013,5607,Baum Blvd,15232,40.4580616,-79.9353176,"Breakfast, Drink, Other"
173,Crazy Mocha Coffee Company,Murman & Ohara LLC,3/4/2005,4030,Butler St,15201,40.4692600,-79.9613160,"Breakfast, Drink, Other"
174,Crazy Mocha Coffee Company,Crazy Mocha Coffee Company LLC,9/17/2010,9104,Babcock Blvd,15237,40.5731154,-80.0136860,"Breakfast, Drink, Other"
175,Dairy Queen,,6/17/1984,4276,Ohio River Blvd,15202,40.4878500,-80.0560540,Dollar Menu
176,Dairy Queen,,3/11/1992,3002,Babcock Blvd,15237,40.5144730,-80.0059810,Dollar Menu
177,Dairy Queen,Big Cone Inc,10/9/2013,1223,E Carson Street,15203,40.4289660,-79.9854760,Dollar Menu
178,Dairy Queen,,6/18/1991,1120,Lincoln Hwy,15137,40.3774004,-79.8020845,Dollar Menu
179,Dairy Queen / Orange Julius #42442,J-Mark Treats LLC,7/23/2010,268,Settlers Ridge Center Dr,15205,40.4406410,-80.1491320,Dollar Menu
180,Dairy Queen & Orange Julius,Brico Realty LLC,3/19/2014,100,Robinson Center Dr,15205,40.4541240,-80.1611640,Dollar Menu
181,Dairy Queen #13590,,12/1/1999,4846,Library Rd,15102,40.3464290,-80.0276330,Dollar Menu
182,Dairy Queen #13613,Fuchs Enterprises LLC,3/12/2012,4237,Verona Rd,15147,40.4664050,-79.8651850,Dollar Menu
183,Dairy Queen #13614,V S DQ Inc,7/31/1998,400,Lebanon Rd,15122,40.3713910,-79.9275320,Dollar Menu
184,Dairy Queen Brazier #13599,,1/1/1980,1613,Freeport Rd,15065,40.6219010,-79.7279360,Dollar Menu
185,Dairy Queen Grill & Chill #13605,DQ Carson St LLC,5/15/2015,2795,Clairton Blvd,15227,40.3760660,-79.9696280,Dollar Menu
186,Dairy Queen Of Coraopolis,RSKR Inc,6/17/1984,507,5th Ave,15108,40.5218540,-80.1747700,Dollar Menu
187,Dairy Queen Of Greentree,Rskr Inc,6/17/1984,2331,Noblestown Rd,15205,40.4276620,-80.0536430,Dollar Menu
188,Dairy Queen Of Northern Pike,DQ Of Northern Pike Inc,5/12/1989,4251,Northern Pike,15146,40.4341280,-79.7560570,Dollar Menu
189,Dairy Queen Of Perrysville,,3/6/1987,1039,Perry Hwy,15237,40.5416660,-80.0362160,Dollar Menu
190,Dairy Queen of Scott,Dairy Store of Scott,6/9/1995,1000,Washington Ave,15106,40.3983920,-80.0834900,Dollar Menu
191,Dairy Queen Of White Oak,,1/1/1983,1990,Lincoln Way,15131,40.3374850,-79.8095430,Dollar Menu
192,Dairy Queen Orange Julius,Ross Park Mall Treatworks Inc,7/3/2013,1000,Ross Park Mall Dr,15237,40.5389690,-80.0077110,Dollar Menu
193,Dairy Queen Orange Julius #41315,DQS Inc,5/23/2014,301,Hills Village Fc#7,15241,40.3426230,-80.0561700,Dollar Menu
194,Danny's Pizza,Danny's Pizza Enterprises,1/1/1977,4851,Clairton Blvd,15236,40.3500070,-79.9763360,Take Out
195,Dannys Parkview Pizza,Dannys Parkview Pizza Inc,6/17/1984,5159,Library Rd,15102,40.3352140,-80.0228750,Take Out
196,DiBella's Old Fashioned Submarines,Western Reserve Management,12/19/2011,9030,St Simon Way,15237,40.5691940,-80.0242510,Take Out
197,DiBellas Old Fashioned Submarines,DiBella's Old Fashioned Submarines Inc,2/10/2006,6501,Steubenville Pike,15205,40.4480340,-80.1587270,Take Out
198,DiBellas Old Fashioned Submarines,DeBellas Old Fashioned Submarines,2/22/2011,16,Market Pl,15222,40.4407460,-80.0017960,Take Out
199,Domino's #9059,JC North Hills,2/29/2008,300,6th Ave,15222,40.4419320,-80.0018280,Take Out
