stname,tractfips,"estimated smoking prevalence, 2006-2010"
Pennsylvania,42011002600,0.17325006
Pennsylvania,42011002700,0.185774819
Pennsylvania,42011002900,0.216816449
Pennsylvania,42011010100,0.245234053
Pennsylvania,42011010200,0.225250947
Pennsylvania,42011010301,0.202081269
Pennsylvania,42011010302,0.216946414
Pennsylvania,42011010400,0.246037229
Pennsylvania,42011010500,0.215796872
Pennsylvania,42011010600,0.179179053
Pennsylvania,42011010700,0.210857536
Pennsylvania,42011010800,0.195960253
Pennsylvania,42011010902,0.182631017
Pennsylvania,42011010903,0.148589919
Pennsylvania,42011010904,0.135654408
Pennsylvania,42011010905,0.181345029
Pennsylvania,42011011000,0.166693749
Pennsylvania,42011011100,0.141231313
Pennsylvania,42011011200,0.196571555
Pennsylvania,42011011300,0.198016224
Pennsylvania,42011011400,0.171808215
Pennsylvania,42011011500,0.201945735
Pennsylvania,42011011601,0.191069897
Pennsylvania,42011011602,0.187612032
Pennsylvania,42011011603,0.167165845
Pennsylvania,42011011701,0.218552834
Pennsylvania,42011011702,0.217285151
Pennsylvania,42011011703,0.197387037
Pennsylvania,42011011800,0.228951004
Pennsylvania,42011011901,0.210716306
Pennsylvania,42011011902,0.217719226
Pennsylvania,42011012001,0.245066561
Pennsylvania,42011012002,0.198522253
Pennsylvania,42011012101,0.206019958
Pennsylvania,42011012102,0.190091662
Pennsylvania,42011012103,0.206347518
Pennsylvania,42011012200,0.211397038
Pennsylvania,42011012300,0.191446042
Pennsylvania,42011012400,0.198348237
Pennsylvania,42011012500,0.189382777
Pennsylvania,42011012600,0.220747678
Pennsylvania,42011012700,0.188122897
Pennsylvania,42011012800,0.213622275
Pennsylvania,42011012900,0.215715695
Pennsylvania,42011013000,0.231880417
Pennsylvania,42011013100,0.221336894
Pennsylvania,42011013200,0.193042328
Pennsylvania,42011013300,0.21597007
Pennsylvania,42011013401,0.208156245
Pennsylvania,42011013402,0.219827322
Pennsylvania,42011013500,0.201307847
Pennsylvania,42011013600,0.206252012
Pennsylvania,42011013700,0.226710495
Pennsylvania,42011013800,0.202205134
Pennsylvania,42011013900,0.21959901
Pennsylvania,42011014000,0.192621069
Pennsylvania,42011014100,0.274020745
Pennsylvania,42011014200,0.20607413
Pennsylvania,42013010101,0.242790792
Pennsylvania,42013010102,0.243067175
Pennsylvania,42013010103,0.229806321
Pennsylvania,42013010401,0.239884774
Pennsylvania,42013010402,0.242658287
Pennsylvania,42013010500,0.231217411
Pennsylvania,42013010600,0.216568446
Pennsylvania,42013010700,0.24028795
Pennsylvania,42013010800,0.245422988
Pennsylvania,42013010900,0.201635908
Pennsylvania,42013011001,0.273099269
Pennsylvania,42013011002,0.203476981
Pennsylvania,42013011100,0.227540095
Pennsylvania,42013011200,0.204668899
Pennsylvania,42013011300,0.221726755
Pennsylvania,42013011400,0.221501056
Pennsylvania,42013011500,0.264141682
Pennsylvania,42013011600,0.264006862
Pennsylvania,42013100200,0.219450753
Pennsylvania,42013100300,0.281560905
Pennsylvania,42013100400,0.266236133
Pennsylvania,42013100500,0.284459131
Pennsylvania,42013100600,0.25451807
Pennsylvania,42013100700,0.343870746
Pennsylvania,42013100800,0.214897287
Pennsylvania,42013100900,0.272907918
Pennsylvania,42013101100,0.222025366
Pennsylvania,42013101200,0.204015079
Pennsylvania,42013101400,0.282283871
Pennsylvania,42013101500,0.216321934
Pennsylvania,42013101600,0.284565043
Pennsylvania,42013101700,0.278429852
Pennsylvania,42013101800,0.229540498
Pennsylvania,42013101900,0.255722957
Pennsylvania,42015980100,0.242737814
Pennsylvania,42015980200,0.243110462
Pennsylvania,42015980300,0.219057871
Pennsylvania,42015980400,0.226312488
Pennsylvania,42015980500,0.207437115
Pennsylvania,42015980600,0.258559353
Pennsylvania,42015980700,0.242324963
Pennsylvania,42015980800,0.239409765
Pennsylvania,42015980900,0.225468024
Pennsylvania,42015981000,0.200486974
Pennsylvania,42015981100,0.228333939
Pennsylvania,42015981200,0.246920207
Pennsylvania,42015981300,0.231883823
Pennsylvania,42015981400,0.232144552
Pennsylvania,42017100102,0.210156983
Pennsylvania,42017100103,0.251457767
Pennsylvania,42017100104,0.217195622
Pennsylvania,42017100105,0.241195948
Pennsylvania,42017100201,0.245698806
Pennsylvania,42017100206,0.230388255
Pennsylvania,42017100207,0.219810962
Pennsylvania,42017100208,0.236893622
Pennsylvania,42017100209,0.242228881
Pennsylvania,42017100210,0.263322834
Pennsylvania,42017100211,0.206151648
Pennsylvania,42017100212,0.247899443
Pennsylvania,42017100302,0.280651739
Pennsylvania,42017100303,0.230288506
Pennsylvania,42017100304,0.270957181
Pennsylvania,42017100306,0.234160893
Pennsylvania,42017100307,0.269091323
Pennsylvania,42017100401,0.252640316
Pennsylvania,42017100402,0.266677691
Pennsylvania,42017100403,0.214585894
Pennsylvania,42017100404,0.26359742
Pennsylvania,42017100406,0.243039361
Pennsylvania,42017100407,0.276189344
Pennsylvania,42017100408,0.262658931
Pennsylvania,42017100500,0.242397988
Pennsylvania,42017100600,0.25295814
Pennsylvania,42017100700,0.291405724
Pennsylvania,42017100803,0.222872808
